MAJOR,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ARCHITECTURE,11.9,12,13.2,14.8,17.4,19.1,21.4,23.7,25.8,27.8,28.1,29.8,34.8,35.8,35.5,36.1,37.2,38.7,39.4,39.1,40.8,33.7,35.2,35.8,34.4,36.1,35.9,35.1,37.6,38.6,40,40.7,41.1,42.8,43.5,43.1,44.5,43.1,42.7,43.3,42,42.8,42.8,43.4,43.7,45,46.5,47.1,48.1,48.1
ARTS,59.7,59.9,60.4,60.2,61.9,60.9,61.3,62,62.5,63.2,63.4,63.3,63.1,62.4,62.1,61.8,62.1,61.7,61.7,62,62.6,62.1,61,60.2,59.4,59.2,58.6,58.7,59.1,59.2,59.2,59.4,60.9,61.1,61.3,61.4,61.6,61.4,60.7,61,61.3,61.2,61.1,60.8,60.3,60.5,61.3,61.4,62.2,63.1
BIOLOGY,29.1,29.4,29.8,31.1,33,34.4,36.1,38.3,40.1,42.1,44,45.2,46,46.7,47.7,47.9,48.3,50.2,50.1,50.8,50.8,51.5,51.3,51.1,52.2,52.6,53.8,55,56.4,58.2,59.4,60.7,61.9,62.2,61.9,61.5,60.2,59.4,59.3,58.5,59,58.7,58.6,58.5,59,59.9,61,62.2,63.2,64.5
BUSINESS,9.1,9.5,10.6,12.8,16.2,19.7,23.4,27.2,30.5,33.6,36.8,39.3,41.9,43.5,45.1,45.7,46.5,46.7,46.8,46.8,47.2,47.2,47.2,47.6,48,48.6,48.6,48.6,49.3,49.8,49.8,50.3,50.6,50.3,50,49.8,49.2,49,48.9,48.8,48.8,48.2,47.9,47.4,47.4,47.2,47.1,47,46.7,46.5
COMMUNICATION,35.3,35.5,36.6,38.4,40.5,41.5,44.3,46.9,49.9,52.3,54.7,56.4,58,58.6,59.1,59,60,60.2,60.4,60.5,60.8,60.8,59.7,58.7,58.1,58.8,58.7,60,60,61.2,61.9,63,63.7,64.6,64.2,63.6,63,62.5,62.4,62.8,62.5,62.2,62.5,62.9,63.2,63.5,64.1,65.5,65.6,64.2
COMPUTERSCIENCE,13.6,13.6,14.9,16.4,18.9,19.8,23.9,25.7,28.1,30.2,32.5,34.8,36.3,37.1,36.8,35.7,34.7,32.4,30.8,29.9,29.4,28.7,28.2,28.5,28.5,27.5,27.1,26.8,27,28.1,27.7,27.6,27,25.1,22.2,20.5,18.6,17.6,17.8,18.1,17.6,18.2,17.8,18,18,18.7,19.1,20,20.6,21.3
ECON/HISTORY/POLISCI/SOC,36.8,36.2,36.1,36.4,37.3,37.7,39.2,40.5,41.8,43.6,44.2,44.6,44.6,44.1,44.1,43.8,44,43.9,44.4,44.2,45.1,45.5,45.8,46.1,46.8,47.9,48.7,49.2,50.5,51.2,51.8,51.7,51.5,50.9,50.5,50,49.8,49.3,49.4,49.4,49.3,49.2,49.3,49,48.8,49.6,50,50.2,51.1,51.7
ENGINEERING,0.8,1,1.2,1.6,2.2,3.2,4.5,6.8,8.4,9.4,10.3,11.6,12.4,13.1,13.5,13.5,13.9,14,13.9,14.1,14.1,14,14.5,14.9,15.7,16.2,16.7,17,17.8,18.6,18.4,19,18.7,18.8,18.2,17.9,16.8,16.8,16.5,16.8,17.2,17.5,17.8,18.4,18.7,19.7,20.4,22.2,22.7,23.8
ENGLISH,65.6,64.6,63.7,62.9,62.4,61.6,62.1,62.7,63.6,65.1,65.3,65.8,65.8,65.9,65.7,65.8,66,66.7,67.1,67,66.9,66.2,65.6,65.7,65.6,65.9,66.4,66.8,67.3,67.8,68.4,68.6,68.8,68.9,68.5,68.6,68.3,67.9,67.6,68,67.9,68.4,68.5,68.6,69.3,70.1,70.4,70.8,71.3,72.1
FOREIGNLANGUAGES,73.8,73.9,74.6,74.9,75.3,75,74.4,74.3,74.3,74.2,74.1,73.9,72.7,71.8,72.1,70.8,71.2,72,72.3,72.4,71.2,71.1,71,70,69.1,69.6,69.7,70,70.1,70.9,70.9,71.2,70.5,70.6,70.8,69.9,69.5,70.2,70.2,69.3,69,69.5,68.4,69.2,68.9,68.8,68.5,68.8,69.1,69.1
HEALTHPROFESSIONS,77.1,75.5,76.9,77.4,77.9,78.9,79.2,80.5,81.9,82.3,83.5,84.1,84.4,84.6,85.1,85.3,85.7,85.5,85.2,84.6,83.9,83.5,83,82.4,81.8,81.5,81.3,81.9,82.1,83.5,83.5,85.1,85.8,86.5,86.5,86,85.9,85.4,85.2,85.1,85,84.8,84.4,84.4,84.4,84.2,84.1,84.5,84.3,84.6
MATH,38,39,40.2,40.9,41.8,40.7,41.5,41.1,41.6,42.3,42.8,43.2,44,44.3,46.2,46.5,46.7,46.5,46.2,46.2,47.3,47,47.4,46.4,47,46.1,46.4,47,48.3,47.8,48.2,47,45.7,46,44.7,45,44.1,44.1,43.2,43.3,43.1,43.1,43.3,43,43,42.5,41.8,42.4,42.5,42
PHYSICS,13.8,14.9,14.8,16.5,18.2,19.1,20,21.3,22.5,23.7,24.6,25.7,27.3,27.6,28,27.5,28.4,30.4,29.7,31.3,31.6,32.6,32.6,33.6,34.8,35.9,37.3,38.3,39.7,40.2,41,42.2,41.1,41.7,42.1,41.6,40.8,40.7,40.7,40.7,40.2,40.1,38.9,39.3,38.5,38.7,39.7,40,40.6,43.2
PSYCHOLOGY,44.4,46.2,47.6,50.4,52.6,54.5,56.9,59,61.3,63.3,65.1,66.9,67.5,67.9,68.2,69,69,70.1,70.9,71.6,72.6,73.2,73.2,73.1,72.9,73,73.9,74.4,75.1,76.5,77.5,77.5,77.7,77.8,77.8,77.5,77.4,77.1,77.2,77.1,77,76.7,76.6,76.7,77.2,77.6,78.2,78.9,79.1,79.3
PUBLICADMINISTRATION,68.4,65.5,62.6,64.3,66.1,63,65.6,69.3,71.5,73.3,74.6,74.7,76.8,76.1,75.9,75,75.7,76.4,75.6,76,77.6,78.2,77.3,78,78.8,78.8,79.8,81,81.3,81.1,81.1,80.9,81.3,81.5,80.7,81.2,81.2,82.1,81.7,82,81.7,81.9,82.3,82.3,82.1,82.5,82.4,82.8,82.7,82.9
EDUCATION,74.5,74.1,73.6,73.5,73.3,72.8,72.2,72.5,73.2,73.8,75,75.8,75.8,76,75.9,75.9,76.1,77,77.6,78.1,78.9,79,78.4,77.3,75.8,75.1,75,75.2,75.5,75.8,76.7,77.4,78.6,78.5,78.7,79.1,78.7,78.7,79.2,79.5,79.6,79.4,79.2,79.4,79.8,80,81.1,81.6,82,82.1
